Model,TBS1052C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,8e-05
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Label,
TIME,CH1
-1.640e-02,-0.028
-1.632e-02,-0.03
-1.624e-02,-0.026
-1.616e-02,-0.024
-1.608e-02,-0.024
-1.600e-02,-0.024
-1.592e-02,-0.024
-1.584e-02,-0.026
-1.576e-02,-0.028
-1.568e-02,-0.03
-1.560e-02,-0.034
-1.552e-02,-0.036
-1.544e-02,-0.038
-1.536e-02,-0.038
-1.528e-02,-0.032
-1.520e-02,-0.03
-1.512e-02,-0.03
-1.504e-02,-0.03
-1.496e-02,-0.032
-1.488e-02,-0.034
-1.480e-02,-0.036
-1.472e-02,-0.038
-1.464e-02,-0.036
-1.456e-02,-0.032
-1.448e-02,-0.03
-1.440e-02,-0.028
-1.432e-02,-0.03
-1.424e-02,-0.032
-1.416e-02,-0.032
-1.408e-02,-0.036
-1.400e-02,-0.03
-1.392e-02,-0.026
-1.384e-02,-0.024
-1.376e-02,-0.022
-1.368e-02,-0.022
-1.360e-02,-0.024
-1.352e-02,-0.026
-1.344e-02,-0.024
-1.336e-02,-0.016
-1.328e-02,-0.014
-1.320e-02,-0.01
-1.312e-02,-0.012
-1.304e-02,-0.014
-1.296e-02,-0.012
-1.288e-02,-0.006
-1.280e-02,-0.004
-1.272e-02,-0.002
-1.264e-02,-0.002
-1.256e-02,-0.004
-1.248e-02,0
-1.240e-02,0.006
-1.232e-02,0.01
-1.224e-02,0.01
-1.216e-02,0.006
-1.208e-02,0.012
-1.200e-02,0.02
-1.192e-02,0.02
-1.184e-02,0.016
-1.176e-02,0.014
-1.168e-02,0.022
-1.160e-02,0.028
-1.152e-02,0.026
-1.144e-02,0.022
-1.136e-02,0.03
-1.128e-02,0.036
-1.120e-02,0.036
-1.112e-02,0.03
-1.104e-02,0.036
-1.096e-02,0.038
-1.088e-02,0.038
-1.080e-02,0.034
-1.072e-02,0.042
-1.064e-02,0.04
-1.056e-02,0.036
-1.048e-02,0.04
-1.040e-02,0.044
-1.032e-02,0.042
-1.024e-02,0.038
-1.016e-02,0.042
-1.008e-02,0.042
-1.000e-02,0.038
-9.920e-03,0.04
-9.840e-03,0.044
-9.760e-03,0.036
-9.680e-03,0.04
-9.600e-03,0.04
-9.520e-03,0.034
-9.440e-03,0.032
-9.360e-03,0.03
-9.280e-03,0.034
-9.200e-03,0.036
-9.120e-03,0.036
-9.040e-03,0.038
-8.960e-03,0.036
-8.880e-03,0.032
-8.800e-03,0.032
-8.720e-03,0.026
-8.640e-03,0.02
-8.560e-03,0.02
-8.480e-03,0.022
-8.400e-03,0.022
-8.320e-03,0.022
-8.240e-03,0.018
